6,40816043,990,990,990,990,0,0,0,0,0,0,0,0,0,0
6,41225832,990,990,990,990,0,0,0,0,0,0,0,0,0,0
1,42422951,9.75E-05,-0.0003166374,-2.43E-05,-0.2900434,-0.3411447,-9.663049,0,0,41.43811,1,1,1000,1000,
5,42432932,0.34,25,0,0,,,,,,,,,,
1,42463112,-0.000340297,0.001081017,0.0001904644,-0.2716759,-0.3428418,-9.6693,0,0,41.43801,1,1,1000,1000,
4,42479969,-163,-346,54,63,-108,44,0,0,0,1,42479955,,,
5,42482941,0.28,25,0,0,,,,,,,,,,
3,42482983,0.1638917,101142,37.32,-0.2734936,42482,0,35,,,,,,,
6,42486480,1035,1035,1035,1035,0,0,0,0,0,0,0,0,0,0
1,42502963,-0.0006110172,-0.0007653048,0.0005839014,-0.2858619,-0.3364069,-9.665893,0,0,41.43803,1,1,1000,1000,
5,42533006,0.32,25,0,0,,,,,,,,,,
1,42542863,-0.000271279,-0.0004837746,0.000481887,-0.2928317,-0.3476514,-9.655882,0,0,41.43804,1,1,1000,1000,
4,42580774,-160,-346,57,63,-108,44,0,0,0,1,42580760,,,
5,42583069,0.31,25,0,0,,,,,,,,,,
3,42583111,0.2175804,101141.4,37.32,-0.08723959,42583,0,35,,,,,,,
1,42583232,-0.0006788447,-0.0001835788,-0.005840812,-0.2816059,-0.3613853,-9.697934,0,0,41.43812,1,1,1000,1000,
4,42780551,-161,-349,54,63,-108,44,0,0,0,1,42780538,,,
5,42782988,0.32,25,0,0,,,,,,,,,,
3,42783046,0.2656176,101140.8,37.32,0.3624444,42783,0,35,,,,,,,
1,42783166,0.002127183,0.003920781,0.0008865326,-0.2650244,-0.2980644,-9.600687,0,0,41.43977,1,1,1000,1000,
6,42786172,1088,1088,1088,1088,0,0,0,0,0,0,0,0,0,0
2,42800490,3,54704000,1974,9,1.02,12.9916531,80.2311257,3.23,0.007,0,0.083,1,,
1,42823186,0.003230971,0.0009978813,0.0001313453,-0.1328422,-0.4029979,-9.782842,0,0,41.44039,1,1,1000,1000,
5,42832915,0.35,25,0,0,,,,,,,,,,
1,42862918,0.0009986711,-0.001872794,0.01792663,-0.1244228,-0.4510128,-9.733489,0,0,41.44068,1,1,1000,1000,
4,42880132,-161,-348,55,63,-108,44,0,0,0,1,42880119,,,
5,42883030,0.31,25,0,0,,,,,,,,,,
3,42883072,0.1667175,101142,37.33,0.2759528,42883,0,35,,,,,,,
6,42886165,1088,1088,1088,1088,0,0,0,0,0,0,0,0,0,0
1,42902952,0.0004852002,-0.004032742,0.02224408,-0.2185487,-0.3004982,-9.680231,0,0,41.44107,1,1,1000,1000,
5,42932803,0.37,25,0,0,,,,,,,,,,
1,42942956,0.002973931,-0.0008758743,0.008809427,-0.22992,-0.2645296,-9.731827,0,0,41.44303,1,1,1000,1000,
4,42980622,-161,-347,56,63,-108,44,0,0,0,1,42980608,,,
5,42983007,0.29,25,0,0,,,,,,,,,,
3,42983058,0.1328088,101142.3,37.32,0.09495002,42983,0,35,,,,,,,
1,42983192,0.003787826,-0.002952088,-0.007587695,-0.1258414,-0.3474671,-9.794978,0,0,41.44469,1,1,1000,1000,
6,42986164,1088,1088,1088,1088,0,0,0,0,0,0,0,0,0,0
